X	Y
0.08767	12.95631
0.10274	14.05776
0.12329	15.1666
0.13699	15.59052
0.15616	16.83265
0.17397	18.88375
0.19178	19.71862
0.22055	22.32506
0.26712	26.84746
0.36301	34.27434
0.46438	43.05998
0.50822	47.03813
0.5589	51.02555
0.60137	53.24509
0.64932	55.60718
0.66986	56.17549
0.69041	57.1492
0.70137	57.16401
0.72192	57.59719
0.74932	57.90448
0.76849	58.06553
0.79726	57.15846
0.80959	57.58053
0.82329	57.19363
0.83562	57.48056
0.85479	57.23621
0.87671	56.18475
0.89589	54.99445
0.93973	48.16179
0.96575	46.44021
0.99178	45.12403
1.01233	43.93558
